SensorId; TimeStamp (s); FrameNumber; AccX (g); AccY (g); AccZ (g); GyroX (deg/s); GyroY (deg/s); GyroZ (deg/s); MagX (uT); MagY (uT); MagZ (uT); EulerX (deg); EulerY (deg); EulerZ (deg); QuatW; QuatX; QuatY; QuatZ; LinAccX (g); LinAccY (g); LinAccZ (g); Pressure (kPa); Altitude (m); Temperature (degC); HeaveMotion (m)
1;0;0;0.16206306;-0.04692072;-0.99474257;0.18831076;-0.13488789;0.05242936;0;0;0;2.55579162;9.08650112;-136.0844116;1;0;0;0;-0.00413419;0.00288746;0.00827436;0;0;0;0
1;0.01;1;0.16087377;-0.04623558;-0.99366981;-0.83387619;0.21764553;0.03409845;0;0;0;2.54752231;9.08865929;-136.0839691;1;0;0;0;-0.00294577;0.00227165;0.00719838;0;0;0;0
1;0.02;2;0.15951823;-0.04640508;-0.99943185;-1.58583581;0.55081844;-0.0402657;0;0;0;2.53163791;9.09418106;-136.084137;1;0;0;0;-0.00148931;0.00270673;0.01296473;0;0;0;0
1;0.03;3;0.16344893;-0.04375851;-0.9998126;-1.22739506;0.30901292;-0.18749687;0;0;0;2.51908684;9.09734917;-136.0858917;1;0;0;0;-0.00535127;0.00028366;0.01334669;0;0;0;0
1;0.04;4;0.16081901;-0.04274949;-1.00128365;-1.10360539;0.44012842;0.33750835;0;0;0;2.52840805;9.10444164;-136.0814514;1;0;0;0;-0.00264287;-0.00060468;0.01482491;0;0;0;0
1;0.05;5;0.15891035;-0.04314887;-1.00134981;0.38361022;-0.44390607;-0.04109992;0;0;0;2.53214741;9.10002613;-136.082077;1;0;0;0;-0.00072161;-0.00043523;0.01490326;0;0;0;0
1;0.06;6;0.15845068;-0.04317011;-0.99834865;0.92822421;-0.02199971;-0.02529265;0;0;0;2.5413878;9.09981823;-136.0823517;1;0;0;0;-0.00030155;-0.00055002;0.01190172;0;0;0;0
1;0.07;7;0.16109246;-0.04572658;-0.99905878;1.46464562;-0.38617784;-0.07114997;0;0;0;2.55589271;9.09599018;-136.0832367;1;0;0;0;-0.00296799;0.00179138;0.0126175;0;0;0;0
1;0.08;8;0.15928842;-0.04513699;-0.99660897;1.19510233;-0.21410805;0.12666836;0;0;0;2.56802964;9.09379196;-136.0820465;1;0;0;0;-0.00122613;0.00096559;0.01016825;0;0;0;0
1;0.09;9;0.15864457;-0.04515675;-0.99345499;0.69102293;-0.31032944;-0.02578862;0;0;0;2.56480742;9.07800579;-136.0830536;1;0;0;0;-0.00068115;0.00087932;0.00700326;0;0;0;0
1;0.1;10;0.16041572;-0.04597153;-0.99480301;-0.5986622;0.23357724;-0.10858592;0;0;0;2.55866408;9.08038807;-136.0840454;1;0;0;0;-0.00261386;0.00183567;0.00831898;0;0;0;0
1;0.11;11;0.15939049;-0.04431931;-0.99547207;-1.31579483;0.51435965;-0.09649818;0;0;0;2.54538894;9.08557034;-136.0847778;1;0;0;0;-0.00151307;0.00037226;0.00899179;0;0;0;0
1;0.12;12;0.16022134;-0.04145207;-0.99769539;-1.8217957;0.39898169;-0.00416939;0;0;0;2.52719402;9.08955956;-136.0846405;1;0;0;0;-0.00227556;-0.0022156;0.01121362;0;0;0;0
1;0.13;13;0.15895873;-0.04169171;-0.9994753;-1.40866256;0.30934504;-0.01028276;0;0;0;2.51311231;9.09265327;-136.0845947;1;0;0;0;-0.00094148;-0.00168221;0.01299202;0;0;0;0
1;0.14;14;0.15973459;-0.0409139;-1.00173771;-0.54583269;0.14725071;-0.07525196;0;0;0;2.51230955;9.11902809;-136.0843964;1;0;0;0;-0.00157023;-0.00232223;0.01527187;0;0;0;0
1;0.15;15;0.15778205;-0.03980758;-1.00164473;0.2796281;-0.01610025;0.0527121;0;0;0;2.51518822;9.11884212;-136.0838776;1;0;0;0;0.00070849;-0.00348778;0.01523399;0;0;0;0
1;0.16;16;0.15641911;-0.04087908;-0.99984407;1.30082083;-0.53858835;-0.05344253;0;0;0;2.5280726;9.1134882;-136.0846558;1;0;0;0;0.00200711;-0.0025826;0.01343031;0;0;0;0
1;0.17;17;0.15886542;-0.04446391;-0.99878198;1.68012226;-0.30461249;0.13716409;0;0;0;2.54507136;9.11038494;-136.0834045;1;0;0;0;-0.00051093;0.00072996;0.01236863;0;0;0;0
1;0.18;18;0.16039498;-0.04510948;-0.99489146;1.66317213;-0.38757214;-0.14359292;0;0;0;2.56144547;9.10657787;-136.0850525;1;0;0;0;-0.00210724;0.00107934;0.00848065;0;0;0;0
1;0.19;19;0.16211773;-0.04490647;-0.99326408;0.46083418;0.03412782;-0.03640939;0;0;0;2.55080032;9.11841202;-136.0861969;1;0;0;0;-0.0038042;0.00077505;0.00686194;0;0;0;0
1;0.2;20;0.15986298;-0.04596008;-0.99507958;-0.36685878;0.12732118;0.04481655;0;0;0;2.54721236;9.1196661;-136.0856781;1;0;0;0;-0.00136539;0.00205285;0.00869696;0;0;0;0
1;0.21;21;0.15977219;-0.04587457;-0.99422175;-1.35366166;0.37749195;-0.04515084;0;0;0;2.53363085;9.12345791;-136.085968;1;0;0;0;-0.00123701;0.00212962;0.00783788;0;0;0;0
1;0.22;22;0.16120827;-0.04370426;-0.99852973;-1.65939772;0.4653123;0.04712239;0;0;0;2.51714611;9.12808704;-136.0852814;1;0;0;0;-0.00259392;0.00024338;0.01214609;0;0;0;0
1;0.23;23;0.16000377;-0.04421832;-1.00064766;-1.04823494;0.30618185;-0.067229;0;0;0;2.50657749;9.13117504;-136.0858307;1;0;0;0;-0.00133221;0.00097296;0.01426369;0;0;0;0
1;0.24;24;0.16175933;-0.04374539;-1.00159228;-0.65341485;0.19948007;-0.05582024;0;0;0;2.47685957;9.14581108;-136.0877991;1;0;0;0;-0.00298179;0.00074356;0.01521477;0;0;0;0
1;0.25;25;0.16113521;-0.04723881;-1.00176048;0.51242214;-0.18869172;-0.03966772;0;0;0;2.48190737;9.14394379;-136.0882721;1;0;0;0;-0.00220249;0.0045264;0.0153954;0;0;0;0
1;0.26;26;0.16123928;-0.04631568;-0.9987852;1.53684306;-0.3698003;-0.07184059;0;0;0;2.49713397;9.14027882;-136.0891571;1;0;0;0;-0.00235565;0.00340903;0.01242064;0;0;0;0
1;0.27;27;0.16303992;-0.04730332;-0.9981733;2.07494164;-0.47882581;0.04278201;0;0;0;2.51791787;9.13547611;-136.0889435;1;0;0;0;-0.0042371;0.00406911;0.01181008;0;0;0;0
1;0.28;28;0.16372095;-0.0469852;-0.99397409;1.67981017;-0.49063665;-0.11001332;0;0;0;2.53450394;9.13062096;-136.0902863;1;0;0;0;-0.00500233;0.00341504;0.00761209;0;0;0;0
1;0.29;29;0.15905727;-0.04659636;-0.99471593;0.27888411;-0.01698228;0.15770578;0;0;0;2.56393719;9.1353159;-136.085144;1;0;0;0;-0.00036712;0.00276851;0.0083608;0;0;0;0
