SensorId; TimeStamp (s); FrameNumber; AccX (g); AccY (g); AccZ (g); GyroX (deg/s); GyroY (deg/s); GyroZ (deg/s); MagX (uT); MagY (uT); MagZ (uT); EulerX (deg); EulerY (deg); EulerZ (deg); QuatW; QuatX; QuatY; QuatZ; LinAccX (g); LinAccY (g); LinAccZ (g)
1.0000;0.0000;0.0000;0.1051;-0.2384;-0.9740;0.3551;-0.5450;0.5055;0.0000;0.0000;0.0000;13.3735;6.4445;-98.0593;1.0000;0.0000;0.0000;0.0000;0.0073;0.0086;0.0073
1.0000;0.0100;1.0000;0.1078;-0.2278;-0.9737;-0.3731;-0.9186;1.0699;0.0000;0.0000;0.0000;13.3707;6.4331;-98.0510;1.0000;0.0000;0.0000;0.0000;0.0043;-0.0020;0.0069
1.0000;0.0200;2.0000;0.1090;-0.2301;-0.9818;-2.0339;0.9077;-0.5681;0.0000;0.0000;0.0000;13.3500;6.4432;-98.0545;1.0000;0.0000;0.0000;0.0000;0.0032;0.0005;0.0150
1.0000;0.0300;3.0000;0.1118;-0.2455;-0.9945;-2.0056;1.4430;-1.2096;0.0000;0.0000;0.0000;13.3290;6.4601;-98.0629;1.0000;0.0000;0.0000;0.0000;0.0006;0.0163;0.0276
1.0000;0.0400;4.0000;0.1071;-0.2456;-0.9944;-0.4891;-0.4329;0.3946;0.0000;0.0000;0.0000;13.3244;6.4550;-98.0601;1.0000;0.0000;0.0000;0.0000;0.0054;0.0166;0.0275
1.0000;0.0500;5.0000;0.1113;-0.2312;-0.9789;0.6418;-1.7692;1.3450;0.0000;0.0000;0.0000;13.3269;6.4357;-98.0496;1.0000;0.0000;0.0000;0.0000;0.0009;0.0021;0.0120
1.0000;0.0600;6.0000;0.1148;-0.2196;-0.9654;0.4163;-0.4525;-0.3867;0.0000;0.0000;0.0000;13.3306;6.4322;-98.0545;1.0000;0.0000;0.0000;0.0000;-0.0028;-0.0095;-0.0015
1.0000;0.0700;7.0000;0.1165;-0.2249;-0.9626;-0.2478;0.7089;-1.4323;0.0000;0.0000;0.0000;13.3267;6.4424;-98.0668;1.0000;0.0000;0.0000;0.0000;-0.0043;-0.0041;-0.0043
1.0000;0.0800;8.0000;0.1175;-0.2240;-0.9597;-0.1491;0.4773;-0.4563;0.0000;0.0000;0.0000;13.3248;6.4481;-98.0702;1.0000;0.0000;0.0000;0.0000;-0.0052;-0.0050;-0.0072
1.0000;0.0900;9.0000;0.1177;-0.2248;-0.9648;0.0302;-0.1545;1.2315;0.0000;0.0000;0.0000;13.3264;6.4438;-98.0585;1.0000;0.0000;0.0000;0.0000;-0.0054;-0.0042;-0.0021
