SensorId,TimeStamp (s),FrameNumber,AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),MagX (uT),MagY (uT),MagZ (uT),EulerX (deg),EulerY (deg),EulerZ (deg),QuatW,QuatX,QuatY,QuatZ,LinAccX (g),LinAccY (g),LinAccZ (g),Pressure (kPa),Altitude (m),Temperature (degC),HeaveMotion (m)
1,322.09,32209,1.00280476,-1.09253502,-0.36496493,8.69119072,-31.83858109,-33.07336044,0,0,0,114.58848572,-10.79145241,64.05157471,1,0,0,0,-1.19302297,0.19961876,0.7730245,0,0,0,0
1,322.1,32210,0.96631014,-1.06296384,-0.40660229,-4.03218269,-5.5933013,-59.53941345,0,0,0,114.51192474,-10.22666359,64.25152588,1,0,0,0,-1.14766538,0.16849098,0.81528366,0,0,0,0
1,322.11,32211,0.98012078,-1.08165622,-0.42334759,-17.70633316,18.22585106,-85.1474762,0,0,0,114.18239594,-9.45901108,64.91983032,1,0,0,0,-1.15005445,0.18383753,0.8295812,0,0,0,0
1,322.12,32212,0.98071635,-1.07320011,-0.40830266,-32.78240967,36.21574783,-107.3597641,0,0,0,113.73261261,-8.62500286,65.69648743,1,0,0,0,-1.13624763,0.17018105,0.80873257,0,0,0,0
1,322.13,32213,0.92610216,-1.06546891,-0.35711905,-45.09181213,48.93262863,-124.1383667,0,0,0,113.14668274,-7.68071413,66.64892578,1,0,0,0,-1.06599653,0.15657407,0.74994171,0,0,0,0
1,322.14,32214,0.32584441,-0.96519428,0.01331236,-47.73915863,56.37830734,-127.78049469,0,0,0,112.54103088,-6.72204447,67.67272186,1,0,0,0,-0.44910523,0.05019228,0.37080687,0,0,0,0
1,322.15,32215,-0.74925417,-0.77487504,0.89214152,-52.56068802,75.29718018,-134.62059021,0,0,0,111.88360596,-5.76019144,68.88581085,1,0,0,0,0.64255118,-0.14617953,-0.51765406,0,0,0,0
1,322.16,32216,-3.49540091,-0.79522216,2.54985952,-38.17073822,84.71617126,-141.21287537,0,0,0,111.38262177,-4.76230001,70.20023346,1,0,0,0,3.40591669,-0.13113421,-2.18403435,0,0,0,0
1,322.17,32217,-3.22783661,-1.73568094,0.2210788,-17.68271065,119.24694061,-40.75138474,0,0,0,111.10558319,-4.81430006,71.46442413,1,0,0,0,3.14860225,0.80635077,0.1395559,0,0,0,0
1,322.18,32218,2.68988013,-2.6432972,-2.75051165,-112.60586548,280.30493164,33.16329575,0,0,0,109.73126221,-6.10741711,73.98086548,1,0,0,0,-2.79038572,1.71079242,3.09726381,0,0,0,0
1,322.19,32219,1.64898491,-3.30462527,-0.53379565,-59.67763138,-13.25863743,-172.32574463,0,0,0,109.08825684,-4.438797,74.42440796,1,0,0,0,-1.74010682,2.36409307,0.86088824,0,0,0,0
1,322.2,32220,0.89891553,-1.27161729,0.97705084,-29.24641418,96.43390656,-140.09899902,0,0,0,108.70384216,-3.42546892,75.79405212,1,0,0,0,-0.96472573,0.32738292,-0.65445632,0,0,0,0
1,322.21,32221,0.72311574,-0.48984358,0.59202254,-43.72816467,106.44845581,-154.25798035,0,0,0,108.21203613,-2.2319808,77.31235504,1,0,0,0,-0.77044988,-0.45807195,-0.2771028,0,0,0,0
1,322.22,32222,0.06823381,-0.7516911,0.52132952,-8.16500378,12.64890099,-142.76222229,0,0,0,108.11373901,-0.91492581,77.87769318,1,0,0,0,-0.09285259,-0.19827241,-0.21000847,0,0,0,0
