SensorId,TimeStamp (s),FrameNumber,AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),MagX (uT),MagY (uT),MagZ (uT),EulerX (deg),EulerY (deg),EulerZ (deg),QuatW,QuatX,QuatY,QuatZ,LinAccX (g),LinAccY (g),LinAccZ (g),Pressure (kPa),Altitude (m),Temperature (degC),HeaveMotion (m)
1,133.39,13339,-0.36925763,-1.36334264,0.45954615,31.65491676,-86.64746857,-151.97660828,0,0,0,95.43682861,11.70344162,147.55447388,1,0,0,0,0.56197917,0.3864255,-0.36772609,0,0,0,0
1,133.4,13340,-0.42424542,-1.30597734,0.36486992,35.18133545,-76.74732208,-143.85343933,0,0,0,95.65323639,13.19774818,146.91293335,1,0,0,0,0.64321077,0.33487183,-0.27023938,0,0,0,0
1,133.41,13341,-0.46704704,-1.32707953,0.23096727,30.33143234,-63.06383133,-134.2532196,0,0,0,95.83460236,14.59673405,146.40518188,1,0,0,0,0.7103622,0.36208266,-0.13333154,0,0,0,0
1,133.42,13342,-0.50066209,-1.29004109,0.18492304,19.34438705,-57.04085541,-121.50083923,0,0,0,95.90736389,15.8637495,145.94602966,1,0,0,0,0.76622194,0.33104926,-0.08605157,0,0,0,0
1,133.43,13343,-0.51203275,-1.2210691,0.23520207,14.5266571,-58.47291946,-104.16958618,0,0,0,95.91274261,16.96013451,145.45152283,1,0,0,0,0.79707092,0.26766777,-0.13645223,0,0,0,0
1,133.44,13344,-0.56027353,-1.13171744,0.33797178,13.11938477,-61.32754517,-82.46957397,0,0,0,95.8791275,17.84346771,144.90097046,1,0,0,0,0.86145663,0.18319839,-0.24007833,0,0,0,0
1,133.45,13345,-0.58914924,-1.09301293,0.34475362,14.71990967,-56.10305786,-61.14859772,0,0,0,95.87193298,18.47522163,144.37628174,1,0,0,0,0.90261614,0.14840141,-0.24759892,0,0,0,0
1,133.46,13346,-0.62626892,-1.06870186,0.2753714,12.34393501,-50.39741898,-39.38829422,0,0,0,95.83916473,18.91847038,143.88938904,1,0,0,0,0.9480238,0.12681365,-0.17884994,0,0,0,0
1,133.47,13347,-0.64530528,-1.07933986,0.21035375,10.2076416,-46.51486206,-18.71986961,0,0,0,95.78800964,19.15186119,143.41990662,1,0,0,0,0.97220063,0.13913582,-0.11467232,0,0,0,0
1,133.48,13348,-0.60824198,-1.03844821,0.16766568,3.40431452,-41.045578,-0.11051179,0,0,0,95.68000793,19.19400597,142.98764038,1,0,0,0,0.93697596,0.09873557,-0.07346416,0,0,0,0
