SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0001, 0, 0.35167539, -0.99460244, 0.25913027, -0.49580455, 27.29209328, -96.99700165, 0.00000000, 0.00000000, 0.00000000, 108.72396851, -3.56185150, 73.33400726, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.41908801, 0.04975617, 0.06134640, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0099, 1, 0.32349175, -0.94790351, 0.22915520, -2.01812458, 9.56688595, -82.17306519, 0.00000000, 0.00000000, 0.00000000, 108.68382263, -2.81423283, 73.68872833, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.37740546, 0.00208853, 0.09102350, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0199, 2, 0.41979858, -0.91319102, 0.22284657, -6.58542061, -16.56672096, -72.46824646, 0.00000000, 0.00000000, 0.00000000, 108.61450195, -2.07463884, 73.76355743, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.46085033, -0.03355502, 0.09648652, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0299, 3, 0.37787816, -0.92173028, 0.31157401, -0.19121078, -35.82361221, -61.92405701, 0.00000000, 0.00000000, 0.00000000, 108.61666870, -1.37345743, 73.62162018, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.40632945, -0.02558789, 0.00743586, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0399, 4, 0.35171625, -0.89274043, 0.24587506, -5.15704536, -55.44435883, -49.37270737, 0.00000000, 0.00000000, 0.00000000, 108.56083679, -0.65876585, 73.22439575, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.36831313, -0.05492392, 0.07294177, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0499, 5, 0.27294570, -0.91192406, 0.26456037, -4.55116510, -75.76851654, -39.17273712, 0.00000000, 0.00000000, 0.00000000, 108.51882172, -0.04654093, 72.63050079, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.27768597, -0.03623381, 0.05319001, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0599, 6, 0.09005129, -0.94681430, 0.23426288, -1.16331649, -78.30271912, -30.73949242, 0.00000000, 0.00000000, 0.00000000, 108.50461578, 0.49360007, 71.98561859, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.08490087, -0.00141682, 0.08326562, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0699, 7, 0.05214628, -0.96890545, 0.23802896, -4.49482393, -79.80348206, -25.23917198, 0.00000000, 0.00000000, 0.00000000, 108.45092010, 0.98579031, 71.30857086, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.03810271, 0.02046266, 0.07859921, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0799, 8, -0.01660504, -1.06051338, 0.22899546, 3.11975193, -64.27740479, -23.94188881, 0.00000000, 0.00000000, 0.00000000, 108.47098541, 1.41645420, 70.77459717, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.03858546, 0.11224052, 0.08769256, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0899, 9, -0.00356721, -1.06081915, 0.20377567, -0.35970941, -48.04544449, -26.10531998, 0.00000000, 0.00000000, 0.00000000, 108.42702484, 1.80721295, 70.41320801, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.03261901, 0.11262745, 0.11258589, 0.00000000, 0.00000000, 0.00000000, 0.00000000
