SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.44678169, -0.61126179, 0.18636069, -48.08308411, 121.52116394, 284.04244995, 0.00000000, 0.00000000, 0.00000000, 119.01602173, 41.28755951, 77.03902435, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.22801179, -0.03207584, 0.17493764, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.46788687, -0.67700279, 0.19379336, -53.80796814, 112.30455017, 292.73596191, 0.00000000, 0.00000000, 0.00000000, 118.12130737, 38.17599106, 76.50016022, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.16603920, -0.00277001, 0.17472291, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.50743711, -0.73389423, 0.22255303, -55.28243256, 105.09901428, 299.19622803, 0.00000000, 0.00000000, 0.00000000, 117.22763062, 35.03817368, 75.92861176, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.08333413, 0.01873304, 0.15065837, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.54402947, -0.79091358, 0.23093614, -55.10104370, 101.21524811, 303.20803833, 0.00000000, 0.00000000, 0.00000000, 116.37036133, 31.87540436, 75.37313080, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00146666, 0.04220447, 0.14538567, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.60447437, -0.86223286, 0.24818760, -51.87290955, 97.08670044, 306.23474121, 0.00000000, 0.00000000, 0.00000000, 115.57809448, 28.69716644, 74.83093262, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.10619219, 0.08221944, 0.13002193, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.65008616, -0.94907808, 0.25469068, -51.17804337, 91.96009064, 306.95324707, 0.00000000, 0.00000000, 0.00000000, 114.82333374, 25.52823257, 74.29731750, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.20063254, 0.14029771, 0.12427726, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 0.67656726, -0.98242372, 0.24774227, -54.07209778, 82.94618225, 302.47259521, 0.00000000, 0.00000000, 0.00000000, 114.05033112, 22.44671440, 73.82642365, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.27640280, 0.14756732, 0.12994382, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.73894465, -0.99576503, 0.26581079, -51.86383057, 79.95099640, 296.07559204, 0.00000000, 0.00000000, 0.00000000, 113.35620880, 19.41436768, 73.33611298, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.38798440, 0.13785154, 0.10913417, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.79767925, -0.99601370, 0.31633481, -49.75090790, 89.12261200, 288.93066406, 0.00000000, 0.00000000, 0.00000000, 112.75734711, 16.40695953, 73.00875092, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.49646786, 0.11820571, 0.05582444, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, 0.83511543, -0.98011744, 0.31814894, -49.68735504, 96.52922821, 278.58776855, 0.00000000, 0.00000000, 0.00000000, 112.21366882, 13.46380806, 72.82910156, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.58373666, 0.08544531, 0.05084918, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, 0.90979481, -0.99014676, 0.36173892, -49.18034744, 108.26277161, 265.68298340, 0.00000000, 0.00000000, 0.00000000, 111.72316742, 10.59506607, 72.83939362, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.70762384, 0.08158481, 0.00355844, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, 1.02778542, -0.99357218, 0.46911713, -50.40332413, 121.15167236, 249.68069458, 0.00000000, 0.00000000, 0.00000000, 111.25281525, 7.85931253, 73.17208862, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.87373853, 0.07389699, -0.10816436, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, 1.13317680, -0.96575242, 0.57093096, -55.08375168, 127.74031830, 226.48928833, 0.00000000, 0.00000000, 0.00000000, 110.74515533, 5.28716850, 73.55506897, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -1.02461553, 0.03739971, -0.21566264, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, 1.28127384, -0.91311133, 0.69065547, -59.79986572, 130.41413879, 197.10993958, 0.00000000, 0.00000000, 0.00000000, 110.18500519, 2.98461461, 74.08884430, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -1.21457803, -0.02204961, -0.34295329, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 14, 1.47401714, -0.86805582, 0.78641206, -55.42168808, 122.19691467, 160.56123352, 0.00000000, 0.00000000, 0.00000000, 109.65166473, 1.05879283, 74.69090271, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -1.44341683, -0.07204773, -0.44703358, 0.00000000, 0.00000000, 0.00000000, 0.00000000
