SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 2.18527389, -1.23860133, -0.36855388, 98.15974426, 10.27703285, 156.34596252, 0.00000000, 0.00000000, 0.00000000, 114.11082458, -24.60971260, 80.04447174, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -2.59409571, 0.40279227, 0.73491120, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 2.32251692, -1.29336476, -0.38776875, 78.37052155, -8.22803307, 89.22572327, 0.00000000, 0.00000000, 0.00000000, 115.10256195, -25.38677788, 79.55200195, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -2.74716949, 0.47135410, 0.76716208, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 2.24404168, -1.25998306, -0.38798782, 38.11310577, 16.72667313, 36.01028061, 0.00000000, 0.00000000, 0.00000000, 115.47196960, -25.75359344, 79.53074646, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -2.67705297, 0.44559291, 0.77433705, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 2.02044082, -1.13617837, -0.53287178, -1.01391625, 20.43763161, -24.24163246, 0.00000000, 0.00000000, 0.00000000, 115.32275391, -25.62242508, 79.85105896, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -2.45446348, 0.32247388, 0.91953301, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 1.93608987, -1.05883133, -0.52967840, -29.42709160, 0.41013345, -91.11674500, 0.00000000, 0.00000000, 0.00000000, 114.84467316, -24.79899216, 80.28210449, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -2.36123347, 0.23882319, 0.91284263, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 1.87262607, -1.03880167, -0.38941148, -52.81942749, -2.14288139, -153.45500183, 0.00000000, 0.00000000, 0.00000000, 114.04145050, -23.39299965, 80.95629120, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -2.27868700, 0.20638740, 0.76642030, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 1.71307135, -1.18244779, -0.33506563, -65.41078949, 16.66694260, -202.74172974, 0.00000000, 0.00000000, 0.00000000, 112.98949432, -21.60022545, 81.99723053, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -2.09245467, 0.33335567, 0.70249867, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 1.31708252, -1.34921551, 0.38001296, -72.29438782, 45.16836166, -242.07954407, 0.00000000, 0.00000000, 0.00000000, 111.78298950, -19.51011276, 83.39681244, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -1.66418874, 0.48133734, -0.02481428, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, -2.77026844, -1.41031539, 2.39854550, -61.34203720, 153.43045044, -255.95152283, 0.00000000, 0.00000000, 0.00000000, 110.38787842, -17.66868973, 85.87690735, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 2.45697141, 0.52302676, -2.06024742, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, -2.68336868, -2.22858906, 0.13291651, 3.83492804, -8.71458149, -63.10780716, 0.00000000, 0.00000000, 0.00000000, 110.38061523, -17.04643250, 86.02207184, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 2.38662028, 1.33328688, 0.19929777, 0.00000000, 0.00000000, 0.00000000, 0.00000000
